task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
5033	a8/92baa8	1713299	analyze_features (LARS, 20 causal (1))	CACHED	0	2018-12-06 01:25:49.467	10s	417ms	66.1%	15 MB	183.9 MB	2.1 MB	0
5538	fe/c69664	1713804	prediction (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (3))	CACHED	0	2018-12-06 01:29:49.385	10s	3.1s	51.5%	27.6 MB	321.4 MB	3.5 MB	0
5550	dc/67dd57	1713815	analyze_features (mRMR, 20 causal (5))	CACHED	0	2018-12-06 01:29:54.194	5.6s	330ms	87.4%	20.1 MB	317.8 MB	2.8 MB	0
5912	03/741488	1714178	prediction (HSIC_lasso-B=5-M=3, n_jobs=1, 20 causal (6))	CACHED	0	2018-12-06 01:32:49.228	9.9s	2.7s	78.1%	37.9 MB	410.4 MB	5.2 MB	32 B
6488	54/f76652	1714754	prediction (mRMR, 20 causal (10))	CACHED	0	2018-12-06 01:37:54.801	10s	2.9s	45.5%	17.1 MB	190.5 MB	2.7 MB	0
5478	57/a2c457	1713744	prediction (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (4))	CACHED	0	2018-12-06 01:29:19.171	10s	3.1s	61.6%	28 MB	328.8 MB	3.5 MB	0
5551	da/e50a5a	1713818	analyze_features (HSIC_lasso-B=20-M=3, n_jobs=1, 20 causal (5))	CACHED	0	2018-12-06 01:29:54.325	5.5s	372ms	91.7%	19.3 MB	207.4 MB	2.8 MB	0
5216	95/6a790c	1713482	prediction (mRMR, 20 causal (1))	CACHED	0	2018-12-06 01:27:04.417	9.8s	2.7s	92.2%	39.2 MB	426 MB	5.6 MB	32 B
5363	39/accfd3	1713629	analyze_features (LARS, 20 causal (5))	CACHED	0	2018-12-06 01:28:19.263	10.1s	551ms	46.8%	27.7 MB	327.7 MB	3.5 MB	28 B
6081	87/11a6a2	1714348	analyze_features (mRMR, 20 causal (7))	CACHED	0	2018-12-06 01:34:54.174	5.1s	288ms	0.0%	13.2 MB	159.9 MB	2 MB	0
5254	6f/1de62c	1713520	prediction (LARS, 20 causal (4))	CACHED	0	2018-12-06 01:27:19.522	9.8s	2.8s	93.1%	32.2 MB	361.4 MB	4.1 MB	0
6104	6f/86fc8d	1714369	prediction (HSIC_lasso-B=0-M=3, n_jobs=1, 20 causal (7))	CACHED	0	2018-12-06 01:35:04.176	10s	2.9s	84.2%	29.5 MB	339.4 MB	3.7 MB	0
