task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
951	4f/9e16b3	1761795	run_hsic_lasso (5, B = 0 (8))	CACHED	0	2018-12-11 06:41:46.928	18m 5s	7m 49s	1198.0%	28.6 GB	30.5 GB	44.3 MB	54.8 KB
1265	01/af0107	1762090	run_hsic_lasso (5, B = 0 (6))	CACHED	0	2018-12-11 07:28:52.057	34m 5s	7m 7s	1961.1%	28.6 GB	30.5 GB	44.3 MB	54.3 KB
1975	e3/6cc232	1763704	run_hsic_lasso (10, B = 0 (9))	CACHED	0	2018-12-11 14:23:23.210	1h 2m 30s	6m 46s	1358.5%	28.5 GB	30.4 GB	44.3 MB	54.8 KB
893	83/65eb24	1761669	run_hsic_lasso (5, B = 5 (3))	CACHED	0	2018-12-11 06:20:37.180	24m 20s	3m 8s	240.3%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
952	d0/4049bf	1761796	run_hsic_lasso (5, B = 5 (8))	CACHED	0	2018-12-11 06:41:46.969	19m 25s	3m 13s	1302.7%	571.5 MB	2.1 GB	44.3 MB	54.8 KB
2077	5e/df7ca3	1764221	run_hsic_lasso (10, B = 0 (10))	CACHED	0	2018-12-11 15:27:33.370	1h 19m	5m 35s	1370.5%	28.6 GB	30.5 GB	44.3 MB	54.3 KB
2021	76/b4be3c	1709168	run_hsic_lasso (20, B = 10 (5))	CACHED	0	2018-12-05 19:18:38.087	50m 25s	2m 51s	501.4%	1016.9 MB	3.6 GB	44.4 MB	54.3 KB
1268	2d/04562e	1762095	run_hsic_lasso (5, B = 10 (6))	CACHED	0	2018-12-11 07:31:27.059	32m 45s	1m 10s	949.8%	1002 MB	2.6 GB	44.3 MB	54.3 KB
1107	5a/88e624	1761956	run_hsic_lasso (5, B = 10 (7))	CACHED	0	2018-12-11 07:04:47.007	19m 35s	2m 7s	620.9%	1002 MB	2.6 GB	44.3 MB	54.3 KB
892	14/2090ec	1761668	run_hsic_lasso (5, B = 0 (3))	CACHED	0	2018-12-11 06:20:37.140	27m 35s	6m 29s	2151.6%	28.6 GB	30.4 GB	44.3 MB	54.3 KB
1106	ba/e06a3b	1761954	run_hsic_lasso (5, B = 5 (7))	CACHED	0	2018-12-11 07:03:06.984	22m 35s	3m 26s	579.7%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
1769	65/912196	1763159	run_hsic_lasso (10, B = 10 (4))	CACHED	0	2018-12-11 11:44:57.778	1h 6m	1m 42s	622.8%	1001.9 MB	2.6 GB	44.3 MB	54.3 KB
1480	59/5a2d05	1762283	run_hsic_lasso (10, B = 5 (1))	CACHED	0	2018-12-11 08:22:47.213	41m 35s	3m 9s	620.5%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
1670	92/12eeda	1762826	run_hsic_lasso (10, B = 20 (3))	CACHED	0	2018-12-11 10:22:42.558	1h 15m 35s	1m 8s	784.3%	1.9 GB	3.5 GB	44.3 MB	54.3 KB
1667	c2/76fb13	1762824	run_hsic_lasso (10, B = 0 (3))	CACHED	0	2018-12-11 10:21:07.549	1h 15m 15s	5m 48s	2383.3%	28.6 GB	30.5 GB	44.3 MB	54.3 KB
1111	92/235c05	1761958	run_hsic_lasso (5, B = 20 (7))	CACHED	0	2018-12-11 07:05:02.010	18m 40s	1m 25s	781.3%	1.9 GB	3.5 GB	44.3 MB	54.3 KB
1267	e0/b2eaf4	1762094	run_hsic_lasso (5, B = 5 (6))	CACHED	0	2018-12-11 07:30:47.057	34m 30s	2m 13s	790.5%	571.8 MB	2.1 GB	44.3 MB	54.3 KB
821	da/bf6dcc	1761448	run_hsic_lasso (5, B = 0 (1))	CACHED	0	2018-12-11 06:04:56.819	37m 25s	6m 22s	2187.7%	28.4 GB	30.3 GB	44.3 MB	54.3 KB
1887	ce/2ac903	1763522	run_hsic_lasso (10, B = 0 (7))	CACHED	0	2018-12-11 13:17:38.030	1h 17m 5s	4m 4s	2510.2%	28.4 GB	30.3 GB	44.3 MB	54.3 KB
1890	5b/69572c	1763531	run_hsic_lasso (10, B = 20 (7))	CACHED	0	2018-12-11 13:19:43.046	1h 15m 40s	39.6s	1723.1%	1.8 GB	3.4 GB	44.3 MB	54.3 KB
1770	d3/33c05f	1763156	run_hsic_lasso (10, B = 20 (4))	CACHED	0	2018-12-11 11:43:52.772	1h 6m 20s	1m 2s	1497.0%	1.9 GB	3.5 GB	44.3 MB	54.3 KB
2019	e7/4e1001	1709166	run_hsic_lasso (20, B = 0 (5))	CACHED	0	2018-12-05 19:16:38.062	56m 50s	7m 46s	1146.6%	28.5 GB	31.4 GB	44.4 MB	54.8 KB
2446	2d/40c298	1710702	run_hsic_lasso (20, B = 20 (9))	CACHED	0	2018-12-06 00:12:33.902	53m	2m 19s	396.7%	1.9 GB	4.6 GB	44.4 MB	54.3 KB
1669	7b/791fb7	1762825	run_hsic_lasso (10, B = 10 (3))	CACHED	0	2018-12-11 10:21:47.595	1h 10m 50s	2m 4s	652.6%	1002 MB	2.6 GB	44.3 MB	54.3 KB
